Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
energy-y2,HGARF,3,"89,8,8, 3, 4,0.029595154664959433,0.9647801387204804",0.875816993,0.875816993,0.055326723,0.875861155,0.907903627,0.752905442,8.572282314,0.007749796
energy-y2,AdaBoost,3,"132,1.373774704177086",0.908496732,0.908496732,0.042915932,0.927537445,0.957053106,0.836447386,0.208914518,0.027966261
energy-y2,HGARF,4,"86,8,8, 3, 4,0.25963949645149564,0.5784747477579661",0.803921569,0.803921569,0.069444444,0.954751131,0.874381466,0.654980967,7.011401892,0.0075984
energy-y2,AdaBoost,4,"296,0.812262178516102",0.836601307,0.836601307,0.068326118,0.874242545,0.866396761,0.711382292,0.469324827,0.061876297
fertility,HGARF,0,"66,9,8, 3, 4,0.7365048193315044,0.932568627896102",0.85,0.85,0.552631579,0.897222222,0.138888889,0.49751462,2.530118942,0.002040625
fertility,AdaBoost,0,"211,1.356557438724861",0.6,0.6,0.571428571,0.466666667,0.388888889,0.485714286,0.283049583,0.036882162
fertility,HGARF,1,"97,9,8, 3, 4,0.8764079949933851,0.2757721795880297",0.9,0.9,,1,0.333333333,0.5,2.478765249,0.00197506
fertility,AdaBoost,1,"138,1.4951187067918676",0.85,0.85,0.552631579,0.897222222,0.694444444,0.49751462,0.185591459,0.024313927
fertility,HGARF,2,"66,9,8, 3, 4,0.5852063229038799,0.13050081922302548",0.95,0.9,0.277777778,0.9,0.972222222,0.620987654,2.228679419,0.001980305
fertility,AdaBoost,2,"140,0.502797560199048",0.95,0.95,0.026315789,0.975,1,0.748684211,0.188926697,0.024576187
fertility,HGARF,3,"78,9,8, 3, 4,0.2982721054359997,0.12630931695727876",0.8,0.8,0.578947368,0.894117647,0.568627451,0.49628483,2.05032444,0.001987219
fertility,AdaBoost,3,"113,0.5482893422049414",0.8,0.8,0.392156863,0.8,0.450980392,0.544828912,0.154698849,0.02053833
fertility,HGARF,4,"71,9,8, 3, 4,0.5843484592783366,0.702434124391878",0.85,0.85,,1,0.343137255,0.5,2.457516909,0.002030134
fertility,AdaBoost,4,"263,1.1722404671679818",0.8,0.8,0.578947368,0.894117647,0.31372549,0.49628483,0.357391596,0.045897007
flags,HGARF,0,"61,28,8, 3, 4,0.2881623120629172,0.3317692957077418",0.58974359,0.58974359,0.059427608,0.659188034,0.799090608,0.358714896,2.855696678,0.002880096
flags,AdaBoost,0,"363,0.6798622468999957",0.333333333,0.333333333,0.117971574,0.457692308,0.860739087,0.214285714,0.535382748,0.070286274
flags,HGARF,1,"66,28,8, 3, 4,0.550894327988776,0.8387953126479054",0.641025641,0.641025641,0.0518019,0.781135531,0.817176871,0.286308483,3.581034184,0.002886057
flags,AdaBoost,1,"192,0.6624886049334207",0.461538462,0.461538462,0.083188503,0.538003663,0.837726757,0.270239367,0.293800354,0.038687468
flags,HGARF,2,"81,28,8, 3, 4,0.6051122069920278,0.0384969443857722",0.538461538,0.538461538,0.068943187,0.582417582,0.829338506,0.262801435,3.065093994,0.002981186
flags,AdaBoost,2,"282,0.583114611261485",0.435897436,0.435897436,0.08626776,0.425213675,0.700246244,0.232166023,0.432687759,0.05654335
flags,HGARF,3,"75,28,8, 3, 4,0.15807991241429503,0.8561767711660403",0.666666667,0.666666667,0.04955321,0.731807082,0.77034173,0.348065476,3.434855461,0.002871037
flags,AdaBoost,3,"451,0.858289610120294",0.435897436,0.435897436,0.084371043,0.508852259,0.751093041,0.227429983,0.670934677,0.08746171
flags,HGARF,4,"60,28,8, 3, 4,0.6270025702190588,0.11027893383773757",0.631578947,0.631578947,0.062334207,0.755482456,0.850719246,0.421437773,3.083359003,0.002902508
flags,AdaBoost,4,"452,0.9351206687173053",0.526315789,0.526315789,0.080132532,0.601785714,0.712065382,0.285114823,0.686825752,0.08914876
fri_c0_250_5,HGARF,0,"80,5,8, 3, 4,0.11528145159806336,0.5007884926804035",0.82,0.82,0.175324675,0.8272,0.952,0.763896104,3.242287636,0.003334045
fri_c0_250_5,AdaBoost,0,"300,1.4976018137717286",0.86,0.86,0.109375,0.8992,0.9184,0.820625,0.435992002,0.053346157
fri_c0_250_5,HGARF,1,"87,5,8, 3, 4,0.2446135065819669,0.48872589939809963",0.8,0.8,0.198067633,0.8032,0.88,0.74057971,3.324614048,0.003361464
fri_c0_250_5,AdaBoost,1,"462,1.477079488664895",0.76,0.76,0.238325282,0.7632,0.8608,0.698035427,0.675851107,0.081813574
fri_c0_250_5,HGARF,2,"83,5,8, 3, 4,0.9265473337143229,0.8425334506714398",0.96,0.96,0.037037037,0.9632,0.9704,0.942962963,4.04436326,0.003341436
fri_c0_250_5,AdaBoost,2,"401,1.0453634714282019",0.9,0.9,0.099358974,0.9008,0.9696,0.86025641,0.583372593,0.070944071
fri_c0_250_5,HGARF,3,"75,5,8, 3, 4,0.781928753236307,0.1182834699500668",0.7,0.7,0.251984127,0.7968,0.8336,0.649603175,3.756941319,0.003383875
fri_c0_250_5,AdaBoost,3,"424,0.5259809477269098",0.72,0.72,0.238095238,0.8,0.864,0.667619048,0.615922689,0.075071573
fri_c0_250_5,HGARF,4,"65,5,8, 3, 4,0.9048522733795819,0.22287000237034033",0.78,0.78,0.215909091,0.7872,0.8968,0.719545455,3.985383749,0.003368855
fri_c0_250_5,AdaBoost,4,"111,0.5022750388649824",0.9,0.9,0.094155844,0.9072,0.9392,0.862337662,0.161951303,0.020194054
glass,HGARF,0,"58,9,8, 3, 4,0.6977815756103016,0.7439745397354774",0.674418605,0.674418605,0.068617697,0.779623477,0.879406415,0.560649975,3.746786356,0.003045559
glass,AdaBoost,0,"301,0.5206265282509661",0.465116279,0.465116279,0.125183418,0.651162791,0.841964286,0.275044723,0.449281931,0.057252407
glass,HGARF,1,"63,9,8, 3, 4,0.22912113523956323,0.33581082652441774",0.627906977,0.627906977,0.085427445,0.704318937,0.915171958,0.604991694,2.842769623,0.002995253
glass,AdaBoost,1,"278,0.5831609789848811",0.697674419,0.697674419,0.067241688,0.788925803,0.889259259,0.529565935,0.428534031,0.054766178
glass,HGARF,2,"73,9,8, 3, 4,0.36486039589914626,0.7159289647101985",0.581395349,0.581395349,0.089821965,0.719822813,0.912208995,0.487955969,3.502197266,0.003093958
glass,AdaBoost,2,"401,0.6952977998075704",0.465116279,0.465116279,0.105231732,0.689700997,0.833095238,0.322917703,0.6002388,0.07634902
glass,HGARF,3,"62,9,8, 3, 4,0.44414461934498517,0.47511748091307854",0.627906977,0.627906977,0.08546798,0.695238095,0.908452381,0.564274356,3.392763853,0.003056288
glass,AdaBoost,3,"375,0.5615130351128328",0.441860465,0.441860465,0.114900786,0.671539313,0.885925926,0.435677497,0.563902855,0.072092295
glass,HGARF,4,"52,9,8, 3, 4,0.6942502598532643,0.012883096726739374",0.69047619,0.69047619,0.070605661,0.712698413,0.922195767,0.496989907,3.28392911,0.003061295
glass,AdaBoost,4,"127,0.6733015575451633",0.523809524,0.523809524,0.104553813,0.718707483,0.824634921,0.415052232,0.191129923,0.024441242
analcatdata_germangss,HGARF,0,"65,17,8, 3, 4,0.8002177341479954,0.4224785042144316",0.2,0.2,0.027917029,0.251619433,0.824634921,0.066943802,3.395775318,0.003069162
analcatdata_germangss,AdaBoost,0,"228,1.0368521995042232",0.2375,0.2375,0.024326295,0.7875,0.824634921,0.033252728,0.348582745,0.045320988
analcatdata_germangss,HGARF,1,"51,17,8, 3, 4,0.7028649811231594,0.42731768244427326",0.2125,0.2125,0.024685654,0.261973684,0.824634921,0.066050859,3.317937136,0.003079653
analcatdata_germangss,AdaBoost,1,"186,1.4093781674330679",0.0875,0.0875,0.029299473,0.1775,0.824634921,0.042640693,0.2779181,0.035662889
analcatdata_germangss,HGARF,2,"50,17,8, 3, 4,0.9845473845656171,0.6240321482791985",0.225,0.225,0.024278156,0.262828947,0.824634921,0.042006312,3.52384758,0.003443003
analcatdata_germangss,AdaBoost,2,"334,0.9868318697830633",0.2125,0.2125,0.028727907,0.626151316,0.824634921,0.032042514,0.503070593,0.064493179
analcatdata_germangss,HGARF,3,"70,17,8, 3, 4,0.7992752274405062,0.6077115779915373",0.2125,0.2125,0.026105785,0.253179825,0.824634921,0.069226778,3.402462006,0.003073692
analcatdata_germangss,AdaBoost,3,"125,1.0058416151755805",0.2,0.2,0.029515115,0.435307018,0.824634921,0.03231955,0.188664198,0.024647713
analcatdata_germangss,HGARF,4,"75,17,8, 3, 4,0.56423565466012,0.40764872783749984",0.25,0.25,0.022813493,0.348245614,0.824634921,0.047344368,3.19061327,0.003077745
analcatdata_germangss,AdaBoost,4,"476,1.023282615217295",0.225,0.225,0.023732601,0.902631579,0.824634921,0.031286665,0.730951548,0.095173597
analcatdata_lawsuit,HGARF,0,"65,4,8, 3, 4,0.685597155963001,0.8344807813382763",0.773584906,0.773584906,0.375,0.8290335,0.867346939,0.615758568,2.71649313,0.002186775
analcatdata_lawsuit,AdaBoost,0,"108,1.06976766084854",0.773584906,0.773584906,0.375,0.8290335,0.99744898,0.615758568,0.137406111,0.013455153
analcatdata_lawsuit,HGARF,1,"70,4,8, 3, 4,0.9177909845833476,0.03026898012009388",1,1,0,1,1,1,2.670049667,0.00213933
analcatdata_lawsuit,AdaBoost,1,"316,1.3324379308666434",1,1,0,1,1,1,0.387320757,0.037123919
analcatdata_lawsuit,HGARF,2,"99,4,8, 3, 4,0.6329072847844321,0.1624200973192842",0.962264151,0.962264151,0.019607843,0.981132075,0.87244898,0.749260081,2.380161524,0.002155304
analcatdata_lawsuit,AdaBoost,2,"351,1.4873176515164528",0.981132075,0.981132075,0.01,0.985849057,0.987244898,0.874433962,0.423529148,0.041335344
analcatdata_lawsuit,HGARF,3,"75,4,8, 3, 4,0.9965083192772293,0.26073972348952823",0.981132075,0.981132075,0.01,0.985849057,1,0.874433962,2.785473108,0.002148867
analcatdata_lawsuit,AdaBoost,3,"424,0.5436452701241854",1,1,0,1,1,1,0.522380352,0.049936056
analcatdata_lawsuit,HGARF,4,"53,4,8, 3, 4,0.1910628295982073,0.25900778601728236",0.961538462,0.961538462,0.019607843,0.987179487,1,0.666289593,2.055399895,0.00208807
analcatdata_lawsuit,AdaBoost,4,"483,1.4409948133074524",1,1,0,1,1,1,0.58799243,0.056199074
annealing,HGARF,0,"61,31,8, 3, 4,0.24445755577164707,0.7452291922169932",0.955555556,0.955555556,0.023150541,0.964583333,0.901765511,0.789047217,5.970306158,0.005726814
annealing,AdaBoost,0,"387,1.3207608469240864",0.866666667,0.866666667,0.026743295,0.991666667,0.78475365,0.546853002,0.665538549,0.067879677
annealing,HGARF,1,"86,31,8, 3, 4,0.7325362430834093,0.7184595349155698",0.966666667,0.966666667,0.017703488,0.966666667,0.993029197,0.942503445,6.460106134,0.005394936
annealing,AdaBoost,1,"410,0.9884854279677859",0.872222222,0.872222222,0.033535354,0.993592863,0.810583942,0.574228649,0.70348382,0.070854187
annealing,HGARF,2,"99,31,8, 3, 4,0.11906210667401701,0.7485947109354281",0.972222222,0.972222222,0.016152087,0.971788321,0.998615746,0.952584937,6.12232852,0.005653143
annealing,AdaBoost,2,"284,1.029587864239097",0.883333333,0.883333333,0.023333333,1,0.819708029,0.596751055,0.491498709,0.049571276
annealing,HGARF,3,"70,31,8, 3, 4,0.9814159653861215,0.26877137925502853",0.983240223,0.983240223,0.007362521,0.983787508,0.992017795,0.968020556,6.744966984,0.00564599
annealing,AdaBoost,3,"401,0.6332685532627218",0.843575419,0.843575419,0.031372417,0.99481245,0.948518536,0.427185537,0.687114239,0.069573879
annealing,HGARF,4,"99,31,8, 3, 4,0.8102325606971111,0.9530437007426174",0.74301676,0.74301676,0.122073224,0.765051569,0.883079751,0.508952991,6.429794073,0.005439281
annealing,AdaBoost,4,"102,0.6956763521231135",0.810055866,0.810055866,0.038467652,0.965191233,0.88800198,0.441243265,0.170606852,0.018194914
ar4,HGARF,0,"82,29,8, 3, 4,0.5408551299841683,0.9762699166817033",0.772727273,0.772727273,0.412280702,0.801767677,0.847222222,0.529572036,2.139322758,0.001429558
ar4,AdaBoost,0,"434,1.1010489610200718",0.863636364,0.863636364,0.219298246,0.883838384,0.847222222,0.657363105,0.5669384,0.050563574
ar4,HGARF,1,"73,29,8, 3, 4,0.8918683519522073,0.11194739761189676",0.863636364,0.863636364,0.071428571,0.965909091,0.916666667,0.621753247,2.058094501,0.001419544
ar4,AdaBoost,1,"396,1.4646949305729418",0.772727273,0.772727273,0.412280702,0.801767677,0.805555556,0.529572036,0.519673347,0.045706749
ar4,HGARF,2,"58,29,8, 3, 4,0.28894926144102107,0.930087118131352",0.857142857,0.857142857,0.222222222,0.878151261,0.955882353,0.656395892,2.131865501,0.00140214
ar4,AdaBoost,2,"277,0.6816788919390588",0.904761905,0.904761905,0.052631579,0.952380952,0.897058824,0.744987469,0.427570105,0.032168865
ar4,HGARF,3,"59,29,8, 3, 4,0.08289431791880786,0.21835868432606642",0.857142857,0.857142857,0.075,0.964285714,0.742647059,0.621428571,1.729184866,0.001405716
ar4,AdaBoost,3,"100,1.107077148766036",0.80952381,0.80952381,0.328947368,0.87535014,0.764705882,0.554022925,0.131543875,0.011927843
ar4,HGARF,4,"61,29,8, 3, 4,0.08434172759116204,0.2206624576400541",0.666666667,0.666666667,0.49375,0.642156863,0.683823529,0.502328431,1.764190197,0.001402378
ar4,AdaBoost,4,"117,0.7112743393919226",0.761904762,0.761904762,0.321428571,0.759803922,0.808823529,0.634803922,0.153753757,0.013896465
