Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
breast-tissue,HGARF,2,"71,9,8, 3, 4,0.663100879669503,0.21131911066928122",0.666666667,0.666666667,0.066993464,0.662698413,0.834953704,0.561342593,2.57512188,0.002180338
breast-tissue,AdaBoost,2,"190,0.6258059090293586",0.571428571,0.571428571,0.080813144,0.71031746,0.891666667,0.51984127,0.277730703,0.035409927
breast-tissue,HGARF,3,"65,9,8, 3, 4,0.864422380543135,0.7087247227512352",0.761904762,0.761904762,0.046078431,0.80952381,0.898148148,0.659126984,2.747718096,0.002141476
breast-tissue,AdaBoost,3,"232,0.8029525316687761",0.666666667,0.666666667,0.064036726,0.773809524,0.921527778,0.554728836,0.338438034,0.043237209
breast-tissue,HGARF,4,"88,9,8, 3, 4,0.5548965073916003,0.5999372974387708",0.571428571,0.571428571,0.080588624,0.69047619,0.878148148,0.478835979,2.594991922,0.002131701
breast-tissue,AdaBoost,4,"399,0.7891259090026543",0.666666667,0.666666667,0.05821662,0.93015873,0.896666667,0.551388889,0.584991693,0.073927164
car,HGARF,0,"73,6,8, 3, 4,0.2374732233825234,0.5016873427184264",0.739884393,0.739884393,0.097561879,0.865625704,0.84307347,0.34997512,13.80689216,0.016804218
car,AdaBoost,0,"106,1.2655404656921592",0.765895954,0.765895954,0.12925814,0.779714505,0.897162902,0.622887279,0.209203959,0.029586792
car,HGARF,1,"88,6,8, 3, 4,0.23893718468745942,0.20870732574229223",0.841040462,0.841040462,0.071743321,0.867101894,0.935450814,0.542159658,10.84999442,0.017517805
car,AdaBoost,1,"220,0.900042486491926",0.832369942,0.832369942,0.090423447,0.839689213,0.965160037,0.651951013,0.424566507,0.059296131
car,HGARF,2,"92,6,8, 3, 4,0.9104826634741056,0.37754954416934505",0.768786127,0.768786127,0.11413882,0.801569293,0.743954221,0.426205951,17.32947898,0.016574144
car,AdaBoost,2,"243,1.0226549753805019",0.861271676,0.861271676,0.05364358,0.904042489,0.885665348,0.599407877,0.4616611,0.064871788
car,HGARF,3,"90,6,8, 3, 4,0.8898882929599389,0.12527237648038625",0.884057971,0.884057971,0.04819955,0.900423161,0.958339671,0.661680367,16.78880262,0.017462254
car,AdaBoost,3,"283,0.967806195526339",0.704347826,0.704347826,0.135448272,0.743368621,0.859514452,0.44840297,0.540545225,0.074997902
car,HGARF,4,"84,6,8, 3, 4,0.6173057433176837,0.44560403415008326",0.846376812,0.846376812,0.050609992,0.933949228,0.953039733,0.559101198,15.73427558,0.016485691
car,AdaBoost,4,"288,1.1026800637904344",0.84057971,0.84057971,0.053983798,0.920397652,0.891152209,0.484707957,0.544433117,0.076729298
cardiotocography-3clases,HGARF,0,"52,21,8, 3, 4,0.037984608194453956,0.32042667859712526",0.887323944,0.887323944,0.100353505,0.887305967,0.941681697,0.734286357,15.16764402,0.020489693
cardiotocography-3clases,AdaBoost,0,"393,1.2001706055709678",0.802816901,0.802816901,0.175026918,0.784196953,0.872240571,0.680495875,1.098069429,0.107739449
cardiotocography-3clases,HGARF,1,"73,21,8, 3, 4,0.9389479052000955,0.5901530235519385",0.887058824,0.887058824,0.081853307,0.907019847,0.907843768,0.624825569,24.09443402,0.020224333
cardiotocography-3clases,AdaBoost,1,"371,0.8862092775115143",0.783529412,0.783529412,0.180119513,0.812534911,0.879053374,0.635217493,1.068248272,0.103797197
cardiotocography-3clases,HGARF,2,"87,21,8, 3, 4,0.6473317483295692,0.8016274414299965",0.910588235,0.910588235,0.032146958,0.945003846,0.952268421,0.717455884,23.33751106,0.020104408
cardiotocography-3clases,AdaBoost,2,"125,1.3542399815855202",0.877647059,0.877647059,0.087437689,0.920921121,0.88876884,0.60802409,0.351858139,0.034514904
cardiotocography-3clases,HGARF,3,"64,21,8, 3, 4,0.9754392638648367,0.7429348027905635",0.870588235,0.870588235,0.117187525,0.875346866,0.93302878,0.668202859,23.96242642,0.020023823
cardiotocography-3clases,AdaBoost,3,"152,1.497922927880757",0.858823529,0.858823529,0.128925302,0.851829206,0.900043159,0.664787106,0.422853947,0.041252851
cardiotocography-3clases,HGARF,4,"79,21,8, 3, 4,0.3972924209870832,0.3011738075557564",0.682352941,0.682352941,0.23982684,0.696052869,0.854681438,0.507015921,17.78834558,0.020330667
cardiotocography-3clases,AdaBoost,4,"108,0.5320378481947938",0.734117647,0.734117647,0.217332074,0.72171112,0.876069533,0.586081615,0.300873041,0.029444456
cardiotocography-10clases,HGARF,0,"57,21,8, 3, 4,0.9617364424876512,0.6537479718515766",0.767605634,0.767605634,0.02656557,0.784733905,0.916392345,0.563044569,24.78437638,0.020783901
cardiotocography-10clases,AdaBoost,0,"163,1.1234819340905382",0.680751174,0.680751174,0.035188542,0.852570193,0.777584357,0.359338547,0.539435625,0.065256357
cardiotocography-10clases,HGARF,1,"84,21,8, 3, 4,0.8896713136432146,0.4304667089260913",0.821176471,0.821176471,0.021026513,0.838129844,0.95723046,0.669017125,24.71433473,0.020932436
cardiotocography-10clases,AdaBoost,1,"447,1.1071106142152294",0.574117647,0.574117647,0.04616737,0.857899774,0.76212862,0.263023787,1.48319006,0.178167105
cardiotocography-10clases,HGARF,2,"81,21,8, 3, 4,0.0720272864772119,0.62433636376456",0.781176471,0.781176471,0.025588454,0.807216736,0.947101709,0.596506739,20.65884233,0.020695925
cardiotocography-10clases,AdaBoost,2,"395,0.5943643893973354",0.625882353,0.625882353,0.044145353,0.685195883,0.934892535,0.413045405,1.32320261,0.156403303
cardiotocography-10clases,HGARF,3,"61,21,8, 3, 4,0.5169952458900856,0.09652237221226218",0.745882353,0.745882353,0.02978996,0.761155182,0.930806559,0.529375002,19.12449574,0.020790577
cardiotocography-10clases,AdaBoost,3,"437,0.601113686229428",0.677647059,0.677647059,0.037698829,0.728952912,0.940264592,0.432443313,1.462297678,0.173293352
cardiotocography-10clases,HGARF,4,"51,21,8, 3, 4,0.5927983817309427,0.2613649122103447",0.696470588,0.696470588,0.033721207,0.812624819,0.92590568,0.49083747,21.19638848,0.02095437
cardiotocography-10clases,AdaBoost,4,"497,0.5515995225911171",0.682352941,0.682352941,0.03587058,0.767260592,0.924926208,0.441440841,1.667045832,0.197234869
chatfield_4,HGARF,0,"56,12,8, 3, 4,0.22168460889958963,0.4118025878721423",0.829787234,0.829787234,0.176739927,0.830667093,0.915413534,0.769232564,3.172648907,0.003278494
chatfield_4,AdaBoost,0,"355,1.463692506012933",0.893617021,0.893617021,0.107279693,0.895456727,0.968045113,0.843716653,0.55993247,0.066032171
chatfield_4,HGARF,1,"87,12,8, 3, 4,0.40083404059714556,0.736267711913207",0.872340426,0.872340426,0.132518797,0.872340426,0.89943609,0.816997363,3.689136505,0.00323081
chatfield_4,AdaBoost,1,"154,1.41813283835522",0.872340426,0.872340426,0.111458333,0.891697328,0.936090226,0.814497472,0.243257761,0.029160023
chatfield_4,HGARF,2,"54,12,8, 3, 4,0.3386324025386175,0.8608372223473351",0.808510638,0.808510638,0.196363636,0.812110062,0.863721805,0.747679062,3.907543898,0.003261089
chatfield_4,AdaBoost,2,"283,0.7881540169970667",0.829787234,0.829787234,0.176739927,0.830667093,0.917293233,0.769232564,0.446588993,0.052979708
chatfield_4,HGARF,3,"69,12,8, 3, 4,0.40255552011691387,0.015339449700423002",0.893617021,0.893617021,0.095833333,0.905600391,0.957854406,0.838568245,3.008198261,0.003290653
chatfield_4,AdaBoost,3,"288,1.4494753208874684",0.808510638,0.808510638,0.19375,0.823184153,0.946360153,0.726635485,0.455201864,0.053987026
chatfield_4,HGARF,4,"57,12,8, 3, 4,0.7620244822882036,0.17300022312088958",0.872340426,0.872340426,0.125,0.898752751,0.954980843,0.835381511,3.690416336,0.003275633
chatfield_4,AdaBoost,4,"111,1.066248292897721",0.85106383,0.85106383,0.157509158,0.854976767,0.938697318,0.795055288,0.175802708,0.021066666
chess-krvkp,HGARF,0,"91,36,8, 3, 4,0.2587295575522516,0.9599701089923913",0.95,0.95,0.045033586,0.95402724,0.993449376,0.928553575,31.91587591,0.029550552
chess-krvkp,AdaBoost,0,"244,0.5381445654183514",0.8515625,0.8515625,0.121579652,0.885307051,0.985176705,0.805064761,0.653000593,0.072563171
chess-krvkp,HGARF,1,"63,36,8, 3, 4,0.74888428318258,0.8426912539482456",0.974960876,0.974960876,0.025073472,0.97587299,0.997806027,0.963498913,31.44002151,0.02964735
chess-krvkp,AdaBoost,1,"282,1.372263509130477",0.954616588,0.954616588,0.043797339,0.958020264,0.997594974,0.935613647,0.754760981,0.084503651
chess-krvkp,HGARF,2,"68,36,8, 3, 4,0.16160143392660745,0.08271044026025773",0.989045383,0.989045383,0.011217949,0.989274971,1,0.983780318,15.27019835,0.029730558
chess-krvkp,AdaBoost,2,"179,1.4212393350570456",0.974960876,0.974960876,0.024922118,0.976160355,0.995209581,0.963645348,0.477030516,0.053842545
chess-krvkp,HGARF,3,"78,36,8, 3, 4,0.9552673758396183,0.5637761829461723",0.96713615,0.96713615,0.032001024,0.967575816,0.98621282,0.95174995,32.89894366,0.03142333
chess-krvkp,AdaBoost,3,"159,0.5018555326879913",0.946791862,0.946791862,0.053358348,0.947407763,0.988298812,0.923266388,0.460489273,0.051875591
